"ID","Handle","Command","Status","Definition: Handle","Top Row","Field","Value"
"165622546628","acetyl-l-carnitine-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.claim-sulbutiamine-fatigue, evidence_claim.claim-alcar-aging-cognition, evidence_claim.acetyl-l-carnitine-500mg-capsules_claim2, evidence_claim.acetyl-l-carnitine-500mg-capsules_claim3"
"165622218948","aniracetam-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.claim-aniracetam-anxiety, evidence_claim.claim-noopept-memory, evidence_claim.aniracetam-500mg-capsules_claim1, evidence_claim.aniracetam-500mg-capsules_claim2, evidence_claim.aniracetam-500mg-capsules_claim3"
"165622612164","ksm-66-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.ashwagandha-ksm-66-300mg-capsules_claim1, evidence_claim.ashwagandha-ksm-66-300mg-capsules_claim2, evidence_claim.ashwagandha-ksm-66-300mg-capsules_claim3"
"165622644932","bacopa-monnieri-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.claim-bacopa-anxiety, evidence_claim.bacopa-monnieri-300mg-capsules_claim2, evidence_claim.bacopa-monnieri-300mg-capsules_claim1, evidence_claim.bacopa-monnieri-300mg-capsules_claim3"
"165622808772","coluracetam-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.coluracetam-20mg-capsules_claim1, evidence_claim.coluracetam-20mg-capsules_claim2, evidence_claim.coluracetam-20mg-capsules_claim3"
"165622874308","cordyceps-mushroom-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.claim-cordyceps-stamina, evidence_claim.cordyceps-mushroom-capsules_claim1, evidence_claim.cordyceps-mushroom-capsules_claim2, evidence_claim.cordyceps-mushroom-capsules_claim3"
"165622382788","gaba-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.claim-l-theanine-stress, evidence_claim.gaba-500mg-capsules_claim1, evidence_claim.gaba-500mg-capsules_claim2, evidence_claim.gaba-500mg-capsules_claim3"
"165622120644","l-theanine-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.l-theanine-200mg-capsules_claim1, evidence_claim.l-theanine-200mg-capsules_claim2, evidence_claim.l-theanine-200mg-capsules_claim3"
"165622907076","lions-mane-mushroom-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.claim-lions-mane-cognition, evidence_claim.lion-mane-mushroom-capsules_claim1, evidence_claim.lion-mane-mushroom-capsules_claim3, evidence_claim.lion-mane-mushroom-capsules_claim4, evidence_claim.lion-mane-mushroom-capsules_claim5, evidence_claim.lion-mane-mushroom-capsules_claim6"
"165622481092","magnesium-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.magnesium-400mg-capsules_claim1, evidence_claim.magnesium-400mg-capsules_claim2, evidence_claim.magnesium-400mg-capsules_claim3, evidence_claim.claim-magnesium-stress"
"165622415556","melatonin-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.claim-melatonin-jet-lag, evidence_claim.melatonin-300mcg-capsules_claim1, evidence_claim.melatonin-300mcg-capsules_claim2, evidence_claim.melatonin-300mcg-capsules_claim3"
"165622939844","nalt-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.n-acetyl-l-tyrosine-350mg-capsules_claim1, evidence_claim.n-acetyl-l-tyrosine-350mg-capsules_claim2, evidence_claim.n-acetyl-l-tyrosine-350mg-capsules_claim3"
"165622317252","noopept-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.noopept-20mg-capsules_claim1, evidence_claim.noopept-20mg-capsules_claim2, evidence_claim.noopept-20mg-capsules_claim3"
"182643261636","phenylpiracetam-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.phenylpiracetam-hydrazide-150mg-capsules_claim1, evidence_claim.phenylpiracetam-hydrazide-150mg-capsules_claim2, evidence_claim.phenylpiracetam-hydrazide-150mg-capsules_claim3"
"165622186180","piracetam-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.piracetam-800mg-capsules_claim1, evidence_claim.piracetam-800mg-capsules_claim2, evidence_claim.piracetam-800mg-capsules_claim3"
"165622284484","pramiracetam-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.pramiracetam-300mg-capsules_claim1, evidence_claim.pramiracetam-300mg-capsules_claim2, evidence_claim.pramiracetam-300mg-capsules_claim3"
"182643327172","rhodiola-rosea-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.rhodiola-rosea-500mg-capsules_claim1, evidence_claim.rhodiola-rosea-500mg-capsules_claim2, evidence_claim.rhodiola-rosea-500mg-capsules_claim3"
"165623005380","sulbutiamine-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.sulbutiamine-200mg-capsules_claim1, evidence_claim.sulbutiamine-200mg-capsules_claim2, evidence_claim.sulbutiamine-200mg-capsules_claim3"
"165622972612","taurine-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.taurine-500mg-capsules_claim1, evidence_claim.taurine-500mg-capsules_claim2, evidence_claim.taurine-500mg-capsules_claim3"
"165622448324","tongkat-ali-evidence-snapshot","MERGE","","evidence_snapshot","TRUE","claims_list","evidence_claim.claim-tongkat-ali-stress, evidence_claim.tongkat-ali-200mg-capsules_claim1, evidence_claim.tongkat-ali-200mg-capsules_claim2, evidence_claim.tongkat-ali-200mg-capsules_claim3"
